Title,Link,Date,Source,Summary,Term,LanguageQueried
आ रहा तूफान 'मोंथा' तूफान: छत्तीसगढ़ में भी भारी बारिश का अनुमान | Hari Bhoomi - Hari bhoomi,https://news.google.com/rss/articles/CBMiugFBVV95cUxPQktYYUZ4TzJjYmo0eXRkZVFXNWhEVzJLb2ktQndOM1VNcldaa25IcTNwaUxGRnJXM0VFa0w4QTc5Q05qc0xNaFZIQThfQ2RBNzZyNk40MDJGNEViUUhpUXF4U00yWWlBYnR4WkNxTGg1d3J0SHhwNmdSSV9hc1pTX1k1ZU9oVUNySTRkZElINkJmVnduVkpsNHVLOWtoYXQxVDMtY0NpOU1tU2tjZEQxdm83WHRlLUxFcVHSAb8BQVVfeXFMUDFid292Tm4xTlBUYUxrcHRDQ2x4MWxtUm53RGplMEtENnQ5M01DZXdqckRTR2JGR29TaWd1Vm41d04xa0pTR2NmNXp1U20tV3EtRUZtcWFFcTVwZ2tidmx6YldKcFhrZ1RUc1pxLXlOWm54NGNyMlY1azBiYnM2Qmdkc2RHbUUwS2MwZTdjSVRKQnkyQ25QSkFZYjY5d0EzUFEzZUEwYkl5RE5tUzItdGtoY3dLaGVnSG9CdkpHRnc?oc=5,2025-10-27 10:26:35,Hari bhoomi,"<a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxPQktYYUZ4TzJjYmo0eXRkZVFXNWhEVzJLb2ktQndOM1VNcldaa25IcTNwaUxGRnJXM0VFa0w4QTc5Q05qc0xNaFZIQThfQ2RBNzZyNk40MDJGNEViUUhpUXF4U00yWWlBYnR4WkNxTGg1d3J0SHhwNmdSSV9hc1pTX1k1ZU9oVUNySTRkZElINkJmVnduVkpsNHVLOWtoYXQxVDMtY0NpOU1tU2tjZEQxdm83WHRlLUxFcVHSAb8BQVVfeXFMUDFid292Tm4xTlBUYUxrcHRDQ2x4MWxtUm53RGplMEtENnQ5M01DZXdqckRTR2JGR29TaWd1Vm41d04xa0pTR2NmNXp1U20tV3EtRUZtcWFFcTVwZ2tidmx6YldKcFhrZ1RUc1pxLXlOWm54NGNyMlY1azBiYnM2Qmdkc2RHbUUwS2MwZTdjSVRKQnkyQ25QSkFZYjY5d0EzUFEzZUEwYkl5RE5tUzItdGtoY3dLaGVnSG9CdkpHRnc?oc=5"" target=""_blank"">आ रहा तूफान 'मोंथा' तूफान: छत्तीसगढ़ में भी भारी बारिश का अनुमान | Hari Bhoomi</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hari bhoomi</font>",Monsoon,hi
"CG Weather Update: दक्षिण छत्तीसगढ़ में दिखेगा मोंथा तूफान का कहर, अगले 2 दिनों के लिए IMD ने जारी किया Red Alert - Nai Dunia",https://news.google.com/rss/articles/CBMi3wFBVV95cUxQZHBoLTBUTTBOMXkyaGJ2V3lvWWV5UmM1WXB1SDloWmZUTlR0YmNCZDhkLWpkbkdOT3ZNWjdWQ1Qtdk9VX2JlM2duZ1pjMnozd0JDbmR2eVZWdGdNMWlpN0RvYmtsSHdURWdFWkd4aW5PYnRNMzZJVU5jVWV6LWJQWVJrQmhFUEF3REZJYUFxTUxfUkluS2tZTXNXSlV2Z2ozU0JQMjlFTGVaQWVTUXFmdFYzUXdFeUFKTjlwRzZFdUhYeHN5dklpcTJybC1UaHNOUjFfVXZxeVJqOENnZkJF?oc=5,2025-10-27 08:07:20,Nai Dunia,"<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxQZHBoLTBUTTBOMXkyaGJ2V3lvWWV5UmM1WXB1SDloWmZUTlR0YmNCZDhkLWpkbkdOT3ZNWjdWQ1Qtdk9VX2JlM2duZ1pjMnozd0JDbmR2eVZWdGdNMWlpN0RvYmtsSHdURWdFWkd4aW5PYnRNMzZJVU5jVWV6LWJQWVJrQmhFUEF3REZJYUFxTUxfUkluS2tZTXNXSlV2Z2ozU0JQMjlFTGVaQWVTUXFmdFYzUXdFeUFKTjlwRzZFdUhYeHN5dklpcTJybC1UaHNOUjFfVXZxeVJqOENnZkJF?oc=5"" target=""_blank"">CG Weather Update: दक्षिण छत्तीसगढ़ में दिखेगा मोंथा तूफान का कहर, अगले 2 दिनों के लिए IMD ने जारी किया Red Alert</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Nai Dunia</font>",Monsoon,hi
"Chhattisgarh Weather: सावधान चक्रवाती तूफान आ रहा! IMD का रेड अलर्ट, इन हिस्सों पर मंडरा रहा खतरा - News18 Hindi",https://news.google.com/rss/articles/CBMi7AFBVV95cUxOaC1wdUk4X0UtbEYzdkladkVjazE2VWg0d2tyNThGNG9KTmkwQk5KUmxYbk5XWFMzZ2JBYkFQRFdMTVZNU1MxbWNDOGl4Mlg3cThtQVhOYmc2aktaVFpNYzF4a0dBeHpTaXRGMEFiTTFCbTVyN0dEcHB2TWk0QXA5Z1lXNGc4WkJQeW9YWHBnX2NwRy1SRUF3SE8wT2RpdWpTSzdIQzl5bW00aW1FZ2NoU09WU0J4cDdrTGRYQzlZd2lnMjBYMXMzb2pabUF2MTcycGc3TEsweWF5cEVrcENfTjF5LTZjenVwbF9mYtIB8gFBVV95cUxNR19YQUxFaFNjYW51QkpjSGNWcG5ZUklXU1pxNHRvbUgwNzJ6dzBaazNDV3k5c2RzTk5DYWZDV3hTbENFTndfR2tzQVVwS0ZVNkt0am1Ja0t5cExuNWhlUXpMcUZlTUltX1A5dmE3aVdGRmFtaHJOaUpITVpLRVdTQ1E5Si1nYkdpME1sUTZWQmd4ajNyUVk3ZXlzZWNmSmNYa0tGX255SDRpdVIxcjh3dTZvT21sMGZaUXJjampzSkxleUowSVYtNF9BUnVYa0VBbHExV2l6YXdlMF84bk8wRkxJbjFkTk5Pb3pzM1dyRm5UUQ?oc=5,2025-10-27 08:34:11,News18 Hindi,"<a href=""https://news.google.com/rss/articles/CBMi7AFBVV95cUxOaC1wdUk4X0UtbEYzdkladkVjazE2VWg0d2tyNThGNG9KTmkwQk5KUmxYbk5XWFMzZ2JBYkFQRFdMTVZNU1MxbWNDOGl4Mlg3cThtQVhOYmc2aktaVFpNYzF4a0dBeHpTaXRGMEFiTTFCbTVyN0dEcHB2TWk0QXA5Z1lXNGc4WkJQeW9YWHBnX2NwRy1SRUF3SE8wT2RpdWpTSzdIQzl5bW00aW1FZ2NoU09WU0J4cDdrTGRYQzlZd2lnMjBYMXMzb2pabUF2MTcycGc3TEsweWF5cEVrcENfTjF5LTZjenVwbF9mYtIB8gFBVV95cUxNR19YQUxFaFNjYW51QkpjSGNWcG5ZUklXU1pxNHRvbUgwNzJ6dzBaazNDV3k5c2RzTk5DYWZDV3hTbENFTndfR2tzQVVwS0ZVNkt0am1Ja0t5cExuNWhlUXpMcUZlTUltX1A5dmE3aVdGRmFtaHJOaUpITVpLRVdTQ1E5Si1nYkdpME1sUTZWQmd4ajNyUVk3ZXlzZWNmSmNYa0tGX255SDRpdVIxcjh3dTZvT21sMGZaUXJjampzSkxleUowSVYtNF9BUnVYa0VBbHExV2l6YXdlMF84bk8wRkxJbjFkTk5Pb3pzM1dyRm5UUQ?oc=5"" target=""_blank"">Chhattisgarh Weather: सावधान चक्रवाती तूफान आ रहा! IMD का रेड अलर्ट, इन हिस्सों पर मंडरा रहा खतरा</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News18 Hindi</font>",Monsoon,hi
"Aaj ka Mausam : 31 अक्टूबर तक इन राज्यों में भारी बारिश के आसार, चक्रवाती तूफान का दिखेगा असर - Prabhat Khabar",https://news.google.com/rss/articles/CBMi4AFBVV95cUxNSVF5eUNJcWJxbTZpblljSmR2VDNHMHFWUnR5N2FFcFRZbDlqR0RqTjFZdVhrNFJrZjVuRjNnWHByWGt4a2ZCM1dWRXpBd3loZ3BCQ1BwaTVhTzVnS0kxQUxuc0NjenNBZGMxT1JsT3hxeGZrQnRfUVU5aEJMRzRLQlhpWjM2cWc0RmZtREk4czdaelNtOGRZazR5Mm9HWDZXMmZYaHU5NWJqUEpOVEhnMklXdHdLUks1V0gwNEJ6ODVUbGR3LS00Rmt4OFZFNmxtYTZ3R1FpQ01Tbk81WjNnddIB4AFBVV95cUxNSVF5eUNJcWJxbTZpblljSmR2VDNHMHFWUnR5N2FFcFRZbDlqR0RqTjFZdVhrNFJrZjVuRjNnWHByWGt4a2ZCM1dWRXpBd3loZ3BCQ1BwaTVhTzVnS0kxQUxuc0NjenNBZGMxT1JsT3hxeGZrQnRfUVU5aEJMRzRLQlhpWjM2cWc0RmZtREk4czdaelNtOGRZazR5Mm9HWDZXMmZYaHU5NWJqUEpOVEhnMklXdHdLUks1V0gwNEJ6ODVUbGR3LS00Rmt4OFZFNmxtYTZ3R1FpQ01Tbk81WjNndQ?oc=5,2025-10-27 07:30:31,Prabhat Khabar,"<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxNSVF5eUNJcWJxbTZpblljSmR2VDNHMHFWUnR5N2FFcFRZbDlqR0RqTjFZdVhrNFJrZjVuRjNnWHByWGt4a2ZCM1dWRXpBd3loZ3BCQ1BwaTVhTzVnS0kxQUxuc0NjenNBZGMxT1JsT3hxeGZrQnRfUVU5aEJMRzRLQlhpWjM2cWc0RmZtREk4czdaelNtOGRZazR5Mm9HWDZXMmZYaHU5NWJqUEpOVEhnMklXdHdLUks1V0gwNEJ6ODVUbGR3LS00Rmt4OFZFNmxtYTZ3R1FpQ01Tbk81WjNnddIB4AFBVV95cUxNSVF5eUNJcWJxbTZpblljSmR2VDNHMHFWUnR5N2FFcFRZbDlqR0RqTjFZdVhrNFJrZjVuRjNnWHByWGt4a2ZCM1dWRXpBd3loZ3BCQ1BwaTVhTzVnS0kxQUxuc0NjenNBZGMxT1JsT3hxeGZrQnRfUVU5aEJMRzRLQlhpWjM2cWc0RmZtREk4czdaelNtOGRZazR5Mm9HWDZXMmZYaHU5NWJqUEpOVEhnMklXdHdLUks1V0gwNEJ6ODVUbGR3LS00Rmt4OFZFNmxtYTZ3R1FpQ01Tbk81WjNndQ?oc=5"" target=""_blank"">Aaj ka Mausam : 31 अक्टूबर तक इन राज्यों में भारी बारिश के आसार, चक्रवाती तूफान का दिखेगा असर</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Prabhat Khabar</font>",Monsoon,hi
Weather Update: बेमौसम बारिश से नुकसान भारी! MP-CG के कई जिलों में भारी बारिश अलर्ट - Bansal news,https://news.google.com/rss/articles/CBMixgFBVV95cUxQNEJlay1UdVVzVnRzVEU2Nm4zZWxIOXdHMTQxZWdtUUR4bVUzMjZWSnJDUVRrcVpZUF9OQ2ZDVDViTUsyVUszbGhxd1FybUl6c01vdGdfVFIyN180ZnRpUk9odUhLM09vS2s3U2loRE16MWxiUGhna1lGOFR5bVVLUXp4VkU2bllHTDlNem5IY3pXN2ZtdnJyZXJKLXJINER2Wl9uS2pxa0VLZzdHRzgxY2daT0o1WHZGZ2tyd3RwMVo3QkhIcVE?oc=5,2025-10-27 10:04:00,Bansal news,"<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxQNEJlay1UdVVzVnRzVEU2Nm4zZWxIOXdHMTQxZWdtUUR4bVUzMjZWSnJDUVRrcVpZUF9OQ2ZDVDViTUsyVUszbGhxd1FybUl6c01vdGdfVFIyN180ZnRpUk9odUhLM09vS2s3U2loRE16MWxiUGhna1lGOFR5bVVLUXp4VkU2bllHTDlNem5IY3pXN2ZtdnJyZXJKLXJINER2Wl9uS2pxa0VLZzdHRzgxY2daT0o1WHZGZ2tyd3RwMVo3QkhIcVE?oc=5"" target=""_blank"">Weather Update: बेमौसम बारिश से नुकसान भारी! MP-CG के कई जिलों में भारी बारिश अलर्ट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bansal news</font>",Monsoon,hi
CG Weather Update: 'रेमनेंट’ का असर छत्तीसगढ़ में भी दिखेगा: 27 से 29 अक्टूबर तक बस्तर संभाग में भारी बारिश की चेतावनी - Bansal news,https://news.google.com/rss/articles/CBMijgFBVV95cUxNZkdSZGpvSnVoclNVOGNRMW5oaHFHdUNVUENFY2VzVlZhU2JZeDNBRmlsSmZvWk5mTkJvR2JHcnhONXBkaVFpdnZINXZvWEwyYjVkbXhIeVh0VWYxdmVCeFlmaHlZRmFiMlF3aGN5WTJsbXR4T3RhQzBHYVE0RnJYRVpZQXJhczAzZ21tMXpR?oc=5,2025-10-27 06:31:16,Bansal news,"<a href=""https://news.google.com/rss/articles/CBMijgFBVV95cUxNZkdSZGpvSnVoclNVOGNRMW5oaHFHdUNVUENFY2VzVlZhU2JZeDNBRmlsSmZvWk5mTkJvR2JHcnhONXBkaVFpdnZINXZvWEwyYjVkbXhIeVh0VWYxdmVCeFlmaHlZRmFiMlF3aGN5WTJsbXR4T3RhQzBHYVE0RnJYRVpZQXJhczAzZ21tMXpR?oc=5"" target=""_blank"">CG Weather Update: 'रेमनेंट’ का असर छत्तीसगढ़ में भी दिखेगा: 27 से 29 अक्टूबर तक बस्तर संभाग में भारी बारिश की चेतावनी</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bansal news</font>",Monsoon,hi
"Weather Update: छत्तीसगढ़ में फिर बदला मौसम, 1 नवंबर तक कई जिलों में भारी बारिश के आसार - cgmp.co.in",https://news.google.com/rss/articles/CBMi1AFBVV95cUxQdU53ZWVmMFpENjBrNnBUbWRXTExWVlJpeERsY2lCWXdjZnpBX21CVzJhVXl6RXhNYjZjek1yWTJYeXRrV0U2czliNGEyWlpqeGJYYi1wVE5QcFZvNU1iWFRfTFpDWTNpdnZhQ3E4TnMya2c3dk4zd2t1b2stVmt4ZWtYNTY0RlNHTFZoTkktem92ZkY0T2J1blZNaGZ3bWxYZS1yN05SbEJ6alFPRTMyRDJCNXItelFKYlc3anFrLXhGQ0JCQVNzWk85am4tb01ZR1dVeA?oc=5,2025-10-27 08:43:52,cgmp.co.in,"<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxQdU53ZWVmMFpENjBrNnBUbWRXTExWVlJpeERsY2lCWXdjZnpBX21CVzJhVXl6RXhNYjZjek1yWTJYeXRrV0U2czliNGEyWlpqeGJYYi1wVE5QcFZvNU1iWFRfTFpDWTNpdnZhQ3E4TnMya2c3dk4zd2t1b2stVmt4ZWtYNTY0RlNHTFZoTkktem92ZkY0T2J1blZNaGZ3bWxYZS1yN05SbEJ6alFPRTMyRDJCNXItelFKYlc3anFrLXhGQ0JCQVNzWk85am4tb01ZR1dVeA?oc=5"" target=""_blank"">Weather Update: छत्तीसगढ़ में फिर बदला मौसम, 1 नवंबर तक कई जिलों में भारी बारिश के आसार</a>&nbsp;&nbsp;<font color=""#6f6f6f"">cgmp.co.in</font>",Monsoon,hi
"🌪️ छत्तीसगढ़-ओडिशा में मेंथा तूफान का असर: अगले चार दिन तक भारी बारिश के आसार, प्रशासन अलर्ट पर - webmorcha.com",https://news.google.com/rss/articles/CBMifEFVX3lxTFBqWGotVk1yLV9nTC1Zck1TbE0tLXNLUjRMSGNjRXJpOVloaEtKM3FMbTA0akNhbHJOY1d1dTZ4blZubEpfZHpMUHZTeFF1UnhhbzVDUWdTbG5NWmJDbnVVTFRfSkRCeUkwRWxTei1uTm1qMERLWWVOOTJReTM?oc=5,2025-10-27 06:25:49,webmorcha.com,"<a href=""https://news.google.com/rss/articles/CBMifEFVX3lxTFBqWGotVk1yLV9nTC1Zck1TbE0tLXNLUjRMSGNjRXJpOVloaEtKM3FMbTA0akNhbHJOY1d1dTZ4blZubEpfZHpMUHZTeFF1UnhhbzVDUWdTbG5NWmJDbnVVTFRfSkRCeUkwRWxTei1uTm1qMERLWWVOOTJReTM?oc=5"" target=""_blank"">🌪️ छत्तीसगढ़-ओडिशा में मेंथा तूफान का असर: अगले चार दिन तक भारी बारिश के आसार, प्रशासन अलर्ट पर</a>&nbsp;&nbsp;<font color=""#6f6f6f"">webmorcha.com</font>",Monsoon,hi
"छत्तीसगढ़ में चक्रवाती तूफान का असर, अगले दो दिनों तक जमकर होगी बारिश, 80 किलोमीटर प्रति घंटे की रफ्तार से चलेंगी हवाएं - Dainik Chhattisgarh watch -",https://news.google.com/rss/articles/CBMi3AFBVV95cUxNTTlndkJhZjFORFJGQlJXU0JacVBYdTNSODJaSVMzdWRka2ZfbUNFMUVVR2t1RnV2RGZoZmlDU2NxQ1BIQzNMTDFnRjN5aXFmaGZBNFFTeXB6ZzFHQ1g4NVhsQlM0Yl9MRUZvVVRTVnZ0OVdOejRmakhRSFlMSlI0UUx3NmFmR2JDVS1ydWt1bWVxVlhOcVBBNjB4akhLa1dBX2F0bW1ZSlpsYkhZZnlFaTFoY1BwMHJhQzVuYXJQbVg2X2sxb0hJZU1Pd1pWRURVaGVnMGhmQVlmZExL?oc=5,2025-10-27 09:59:23,Dainik Chhattisgarh watch -,"<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxNTTlndkJhZjFORFJGQlJXU0JacVBYdTNSODJaSVMzdWRka2ZfbUNFMUVVR2t1RnV2RGZoZmlDU2NxQ1BIQzNMTDFnRjN5aXFmaGZBNFFTeXB6ZzFHQ1g4NVhsQlM0Yl9MRUZvVVRTVnZ0OVdOejRmakhRSFlMSlI0UUx3NmFmR2JDVS1ydWt1bWVxVlhOcVBBNjB4akhLa1dBX2F0bW1ZSlpsYkhZZnlFaTFoY1BwMHJhQzVuYXJQbVg2X2sxb0hJZU1Pd1pWRURVaGVnMGhmQVlmZExL?oc=5"" target=""_blank"">छत्तीसगढ़ में चक्रवाती तूफान का असर, अगले दो दिनों तक जमकर होगी बारिश, 80 किलोमीटर प्रति घंटे की रफ्तार से चलेंगी हवाएं</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Dainik Chhattisgarh watch -</font>",Monsoon,hi
"Weather News: कल आंध्र तट से टकराएगा चक्रवात ‘मोंथा’, अगले पांच दिन 20 राज्यों में भारी बारिश का अलर्ट - Gaon Junction",https://news.google.com/rss/articles/CBMi1gFBVV95cUxQcTI5V2hVczBjaEFDMkRWYnpGQXlveEt4Yk1qdFF4a0dTRzdJVEI3ZHd6ZEdXUllGNk05WDEycXZBTVV0c01tdjlsZkpNOVp1TzBkV3B3emdpS1JVb3ZVVXl4LWJSQTJYdGs0dEUtM0NSU3htQjh4ZEhWSWd2TzltZExqRFZzb2xKWkdfYUgwN0hhczRBaXU5aHI1d29Lcjc2Z1lQaXR6bkNoaVBvYUFRUjc2eVBXbGNiMVNWeUU3T2hCWmdvYlVvZGhsUlNhWmNodzZuWWZn?oc=5,2025-10-27 07:43:08,Gaon Junction,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxQcTI5V2hVczBjaEFDMkRWYnpGQXlveEt4Yk1qdFF4a0dTRzdJVEI3ZHd6ZEdXUllGNk05WDEycXZBTVV0c01tdjlsZkpNOVp1TzBkV3B3emdpS1JVb3ZVVXl4LWJSQTJYdGs0dEUtM0NSU3htQjh4ZEhWSWd2TzltZExqRFZzb2xKWkdfYUgwN0hhczRBaXU5aHI1d29Lcjc2Z1lQaXR6bkNoaVBvYUFRUjc2eVBXbGNiMVNWeUU3T2hCWmdvYlVvZGhsUlNhWmNodzZuWWZn?oc=5"" target=""_blank"">Weather News: कल आंध्र तट से टकराएगा चक्रवात ‘मोंथा’, अगले पांच दिन 20 राज्यों में भारी बारिश का अलर्ट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Gaon Junction</font>",Monsoon,hi
