Title,Link,Date,Source,Summary,Term,LanguageQueried
"Jharkhand Weather Alert: 15 से 17 सितंबर तक भारी बारिश और वज्रपात की चेतावनी, कई जिलों में येलो अलर्ट - 22Scope News",https://news.google.com/rss/articles/CBMi1gFBVV95cUxONEZ2TUhKdFZsek1JS3RBcmdvbEhjRDhfaWg5N19vaG1aMG9CYlMyMWVDOERjUEdkUTZma0IxRnJoeHljelh2STU1UWx0Zl9CQ2VGRVYta3p2cS1KMWZYa29hdG95OHZ3eElaejRZbDZDek5Ta21JM3dUOHM1MUdIbVFmb3R4QWMwTmFCS1VrbWNKNk9hZ3ZCVmY0X2NFb3k2bzlETUtHVjRRdUFFYlFDRmE3WG56azFDLUZDOGxIa21FX1oxVGVRRV9UTWdxNUxQN2M5Nkp3?oc=5,2025-09-14 08:20:43,22Scope News,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxONEZ2TUhKdFZsek1JS3RBcmdvbEhjRDhfaWg5N19vaG1aMG9CYlMyMWVDOERjUEdkUTZma0IxRnJoeHljelh2STU1UWx0Zl9CQ2VGRVYta3p2cS1KMWZYa29hdG95OHZ3eElaejRZbDZDek5Ta21JM3dUOHM1MUdIbVFmb3R4QWMwTmFCS1VrbWNKNk9hZ3ZCVmY0X2NFb3k2bzlETUtHVjRRdUFFYlFDRmE3WG56azFDLUZDOGxIa21FX1oxVGVRRV9UTWdxNUxQN2M5Nkp3?oc=5"" target=""_blank"">Jharkhand Weather Alert: 15 से 17 सितंबर तक भारी बारिश और वज्रपात की चेतावनी, कई जिलों में येलो अलर्ट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">22Scope News</font>",Monsoon,hi
"Weather Alert:15 सितंबर से झारखंड में भारी बारिश के साथ वज्रपात का अलर्ट, पढे विश्वकर्मा पूजा पर कैसा रहेगा मौसम - THENEWSPOST.in",https://news.google.com/rss/articles/CBMijAJBVV95cUxPMEphS3B5ODVMbWJRdVJ6dG1qdWJwUTBKRXJXanVDcEhialZEYWZVV1pfajNuMFF2UU81VHBBX21ERUZYczNfYXNqelBvaXRjSWtFaWR5cnU3dFBTMnA5b0U2a1E3WWpsNXFmRFBWWF9icDFGdTVDRWtWdl9VY2VNYUJ0bjROVi1qN0ZVZnBlbkx6SW9NamhZOWl5TWYzQ0ZpQ2FpbWhMT0cyWk44V1BpelBUTlNCY2otSm12d2pRMmRudE9TbmdUeDJEU2wzWnZ0eHhPZG8tVFhKWk1EcU1YWGNSOGdpRlRwaUtCMVUtYXVKS24xQzBON2ktNG9yNXpoSWpoWE9qeFNxOGg4?oc=5,2025-09-14 08:42:17,THENEWSPOST.in,"<a href=""https://news.google.com/rss/articles/CBMijAJBVV95cUxPMEphS3B5ODVMbWJRdVJ6dG1qdWJwUTBKRXJXanVDcEhialZEYWZVV1pfajNuMFF2UU81VHBBX21ERUZYczNfYXNqelBvaXRjSWtFaWR5cnU3dFBTMnA5b0U2a1E3WWpsNXFmRFBWWF9icDFGdTVDRWtWdl9VY2VNYUJ0bjROVi1qN0ZVZnBlbkx6SW9NamhZOWl5TWYzQ0ZpQ2FpbWhMT0cyWk44V1BpelBUTlNCY2otSm12d2pRMmRudE9TbmdUeDJEU2wzWnZ0eHhPZG8tVFhKWk1EcU1YWGNSOGdpRlRwaUtCMVUtYXVKS24xQzBON2ktNG9yNXpoSWpoWE9qeFNxOGg4?oc=5"" target=""_blank"">Weather Alert:15 सितंबर से झारखंड में भारी बारिश के साथ वज्रपात का अलर्ट, पढे विश्वकर्मा पूजा पर कैसा रहेगा मौसम</a>&nbsp;&nbsp;<font color=""#6f6f6f"">THENEWSPOST.in</font>",Monsoon,hi
"Weather Update: देशभर में थमा मॉनसून, दिल्ली में बढ... - Bharat Express",https://news.google.com/rss/articles/CBMivAFBVV95cUxNYkczN1RqbTBXWDRFdlVOcHVLanVZNVYtYkxmNWM1WkFyY1BTci12VTEzM2JuZGtZZDJHaExERFJaZS1vODNCS1MzOGRVM2FDUDY3UkNUcjhQdlZRVVZGV1ZhNldibmU5NnU3QTZWU2hTbEFsMXJINW9qbXhnc1Y1MzhaQUZwZ1BEb3BPWkNiTndFRzdPV0cxZFZja3JvaTBiVEc0OEZSRGhmWjhFN3VpeDhCYmNUc2pvYkZ5X9IBvAFBVV95cUxNYkczN1RqbTBXWDRFdlVOcHVLanVZNVYtYkxmNWM1WkFyY1BTci12VTEzM2JuZGtZZDJHaExERFJaZS1vODNCS1MzOGRVM2FDUDY3UkNUcjhQdlZRVVZGV1ZhNldibmU5NnU3QTZWU2hTbEFsMXJINW9qbXhnc1Y1MzhaQUZwZ1BEb3BPWkNiTndFRzdPV0cxZFZja3JvaTBiVEc0OEZSRGhmWjhFN3VpeDhCYmNUc2pvYkZ5Xw?oc=5,2025-09-14 09:17:43,Bharat Express,"<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxNYkczN1RqbTBXWDRFdlVOcHVLanVZNVYtYkxmNWM1WkFyY1BTci12VTEzM2JuZGtZZDJHaExERFJaZS1vODNCS1MzOGRVM2FDUDY3UkNUcjhQdlZRVVZGV1ZhNldibmU5NnU3QTZWU2hTbEFsMXJINW9qbXhnc1Y1MzhaQUZwZ1BEb3BPWkNiTndFRzdPV0cxZFZja3JvaTBiVEc0OEZSRGhmWjhFN3VpeDhCYmNUc2pvYkZ5X9IBvAFBVV95cUxNYkczN1RqbTBXWDRFdlVOcHVLanVZNVYtYkxmNWM1WkFyY1BTci12VTEzM2JuZGtZZDJHaExERFJaZS1vODNCS1MzOGRVM2FDUDY3UkNUcjhQdlZRVVZGV1ZhNldibmU5NnU3QTZWU2hTbEFsMXJINW9qbXhnc1Y1MzhaQUZwZ1BEb3BPWkNiTndFRzdPV0cxZFZja3JvaTBiVEc0OEZSRGhmWjhFN3VpeDhCYmNUc2pvYkZ5Xw?oc=5"" target=""_blank"">Weather Update: देशभर में थमा मॉनसून, दिल्ली में बढ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bharat Express</font>",Monsoon,hi
"दिल्ली-NCR में होगी बारिश, यूपी से बिहार तक आज कैसा रहेगा मौसम; जानें देश में क्या है बाढ़ की स्थिति - Weather Update heavy rain North India heatwave summer Forecast IMD Delhi NCR to UP Bihar Haryana Punjab kas - Jagran",https://news.google.com/rss/articles/CBMigAJBVV95cUxPMnFMUkxpc0M2c09tWG1HUlBTamtKM3M4ZGk3cGV5UHhjQUw5RDVuemhwNC1PWnpLMElKWXpwWEctMk1CclB0Znpod3g1ZXdYZHJxZ0FhTzk5TjRRZ01DbUdtclNFTGhCSGV2VGI3eHh4UmFxVnMtaEFKZ1ZsakZ1YnQyWFFkWkxHRDQzb3VxWHQ1djFHcXN1LXN0b1BpaFR5WTlnS2FfeHVEdnRodFhERTZ6M0lIbTc3SVFWYkRBSk42bWVqYmpQVW9TQ1ZSU2kzNWd4SGpxdmRFQXU2Qk5hWi1VN1VmY0Q1bE5GSE9vOG4yQVVzakl0VHJ2X3JCcWdZ?oc=5,2025-09-14 05:30:00,Jagran,"<a href=""https://news.google.com/rss/articles/CBMigAJBVV95cUxPMnFMUkxpc0M2c09tWG1HUlBTamtKM3M4ZGk3cGV5UHhjQUw5RDVuemhwNC1PWnpLMElKWXpwWEctMk1CclB0Znpod3g1ZXdYZHJxZ0FhTzk5TjRRZ01DbUdtclNFTGhCSGV2VGI3eHh4UmFxVnMtaEFKZ1ZsakZ1YnQyWFFkWkxHRDQzb3VxWHQ1djFHcXN1LXN0b1BpaFR5WTlnS2FfeHVEdnRodFhERTZ6M0lIbTc3SVFWYkRBSk42bWVqYmpQVW9TQ1ZSU2kzNWd4SGpxdmRFQXU2Qk5hWi1VN1VmY0Q1bE5GSE9vOG4yQVVzakl0VHJ2X3JCcWdZ?oc=5"" target=""_blank"">दिल्ली-NCR में होगी बारिश, यूपी से बिहार तक आज कैसा रहेगा मौसम; जानें देश में क्या है बाढ़ की स्थिति - Weather Update heavy rain North India heatwave summer Forecast IMD Delhi NCR to UP Bihar Haryana Punjab kas</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jagran</font>",Monsoon,hi
"Bihar Weather Update: बिहार के 30 जिलों में बिजली गिरने का अलर्ट, कई इलाकों में होगी भारी बारिश - Jagran",https://news.google.com/rss/articles/CBMi5AFBVV95cUxOdXZzT3A2RTFQSlR1cXJ2eXQxMEFXUGpSV2lJZlNzby1uWkhESkIxUU82REtYV1RrOUI3RVFMMk1Hd3ZYZC1zVWdIaGZCVU9ld2JBMWlkVlF1SXc5QjFkNkxTOUdaZGhieEZXdFV6TEJFQW4tR0p5WUNybF8zTXRERVVYakhQRGJlRzZPWlJrYmdKcFdBT2NjdEFpc2FSdnBRc3RnVkpQMTY5cEtUNHV2cUFaZ0dkZ19HXzFwOG1SRGc2UkhQc2JXdXN3R0VueWd5YURaN2o5bVFWZzZLM2l6bXVEaW4?oc=5,2025-09-14 07:21:00,Jagran,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxOdXZzT3A2RTFQSlR1cXJ2eXQxMEFXUGpSV2lJZlNzby1uWkhESkIxUU82REtYV1RrOUI3RVFMMk1Hd3ZYZC1zVWdIaGZCVU9ld2JBMWlkVlF1SXc5QjFkNkxTOUdaZGhieEZXdFV6TEJFQW4tR0p5WUNybF8zTXRERVVYakhQRGJlRzZPWlJrYmdKcFdBT2NjdEFpc2FSdnBRc3RnVkpQMTY5cEtUNHV2cUFaZ0dkZ19HXzFwOG1SRGc2UkhQc2JXdXN3R0VueWd5YURaN2o5bVFWZzZLM2l6bXVEaW4?oc=5"" target=""_blank"">Bihar Weather Update: बिहार के 30 जिलों में बिजली गिरने का अलर्ट, कई इलाकों में होगी भारी बारिश</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jagran</font>",Monsoon,hi
"Bihar Weather: आज बिहार के इन जिलों में भारी बारिश की संभावना, IMD का अलर्ट जारी - firstbihar.com",https://news.google.com/rss/articles/CBMiuAFBVV95cUxNaWFzMWk5ZlZwSVlYOTB4dEdSU2hTczYtd2dHUW1XcVVTaGR2OVJ1Wkc0NFozTVlCelN3Vk1UN25zMFZIX3otTmpiQXB0czhSN1BYdERrbEFtUGprMUV2WThvdDBtZ1RwczczN1plZ2xQbUlpQ0tjUmQ2NnhXZU1kUGRNdUhQakQ3N3lNd3hJYzNSdGFaTU0taFRwTDJReVB1OFVYbmpHREtSSGE2amJ4ejExekYwM2pW0gG-AUFVX3lxTE9zTnVicUpWdmZvdjRmQkw3c0Z5X3FjNC04UTRsdG9CUGJ3eVpLZjVQUEZrNEg5U2p0cGNZRE1PT0pJR0lTbzEtVnBaZlU1ZW5NenB0bmswdnF5a3VzelotS2psLXZSYzZjLXFSbXlZTzdOOXpMcks2OW9BdE1PUjFBSkt5UXp5WV92Uy10UHdlZzdEdkVrNEFJcVBMbGFnemMzQWo2WlRxR2NzWmhNZmg3ZFpoU0V5NXdKOGNoTVE?oc=5,2025-09-14 07:36:43,firstbihar.com,"<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxNaWFzMWk5ZlZwSVlYOTB4dEdSU2hTczYtd2dHUW1XcVVTaGR2OVJ1Wkc0NFozTVlCelN3Vk1UN25zMFZIX3otTmpiQXB0czhSN1BYdERrbEFtUGprMUV2WThvdDBtZ1RwczczN1plZ2xQbUlpQ0tjUmQ2NnhXZU1kUGRNdUhQakQ3N3lNd3hJYzNSdGFaTU0taFRwTDJReVB1OFVYbmpHREtSSGE2amJ4ejExekYwM2pW0gG-AUFVX3lxTE9zTnVicUpWdmZvdjRmQkw3c0Z5X3FjNC04UTRsdG9CUGJ3eVpLZjVQUEZrNEg5U2p0cGNZRE1PT0pJR0lTbzEtVnBaZlU1ZW5NenB0bmswdnF5a3VzelotS2psLXZSYzZjLXFSbXlZTzdOOXpMcks2OW9BdE1PUjFBSkt5UXp5WV92Uy10UHdlZzdEdkVrNEFJcVBMbGFnemMzQWo2WlRxR2NzWmhNZmg3ZFpoU0V5NXdKOGNoTVE?oc=5"" target=""_blank"">Bihar Weather: आज बिहार के इन जिलों में भारी बारिश की संभावना, IMD का अलर्ट जारी</a>&nbsp;&nbsp;<font color=""#6f6f6f"">firstbihar.com</font>",Monsoon,hi
"Bihar Weather: भारी बारिश और तेज हवाओं से अगले 72 घंटे बन सकते हैं मुश्किल, इन जिलों में अगर - ABP News",https://news.google.com/rss/articles/CBMiyAFBVV95cUxPdUlsbVVHUThTTllfNmRtajM4X2pzdjJXUWlMWkdwRXJGS2cxYkFlQi1KVjdtSFlPZ3RBQ19yR0NjTkx4aFR0c0ZrQW9PX0ZDdjQtbUU0bnB3UmdkM1E4bFVjZGVuSTY3SThyUVlncFZxanJ3SkFpT3ByMHlRQXRMaU4wdXE3bUk1cmxrTEp0WUoteEliOXVoRWs2MkhhdDlNdU4ybk4xcFlTVFJUbGUyQy1XVlk2TzBBU2dzWVJyZUZZRF9OTU1wdtIBzgFBVV95cUxQRWFtaUpTZjFYY0Z2YlFBOFB0b29DaThERGtmckV1RjdEanQ1VnJLVXl4aGp3ZjQ5SThYcjVWQlJnaHJfQUdGdE1nYS1VT3hxbmx6OTczNm1JcGxnVjR4aWdaSGhxOW14eWk1NFEwVExiTVd5TXdyM1RJaE9CclQ1NGFCbXZoRDZGOXNidkJQM1VvV3lUSHRoMVlMV28zeFg4dlNuQ2tNRFhjVUQ0cHVhdXFPTUdRdENpbXR1M096YnhiQkg5eGtfcmJfSEZEQQ?oc=5,2025-09-14 08:09:54,ABP News,"<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxPdUlsbVVHUThTTllfNmRtajM4X2pzdjJXUWlMWkdwRXJGS2cxYkFlQi1KVjdtSFlPZ3RBQ19yR0NjTkx4aFR0c0ZrQW9PX0ZDdjQtbUU0bnB3UmdkM1E4bFVjZGVuSTY3SThyUVlncFZxanJ3SkFpT3ByMHlRQXRMaU4wdXE3bUk1cmxrTEp0WUoteEliOXVoRWs2MkhhdDlNdU4ybk4xcFlTVFJUbGUyQy1XVlk2TzBBU2dzWVJyZUZZRF9OTU1wdtIBzgFBVV95cUxQRWFtaUpTZjFYY0Z2YlFBOFB0b29DaThERGtmckV1RjdEanQ1VnJLVXl4aGp3ZjQ5SThYcjVWQlJnaHJfQUdGdE1nYS1VT3hxbmx6OTczNm1JcGxnVjR4aWdaSGhxOW14eWk1NFEwVExiTVd5TXdyM1RJaE9CclQ1NGFCbXZoRDZGOXNidkJQM1VvV3lUSHRoMVlMV28zeFg4dlNuQ2tNRFhjVUQ0cHVhdXFPTUdRdENpbXR1M096YnhiQkg5eGtfcmJfSEZEQQ?oc=5"" target=""_blank"">Bihar Weather: भारी बारिश और तेज हवाओं से अगले 72 घंटे बन सकते हैं मुश्किल, इन जिलों में अगर</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ABP News</font>",Monsoon,hi
"Weather Update: दिल्ली-NCR में आज बारिश के आसार, यूपी-बिहार में बाढ़ का खतरा बरकरार; जानें देशभर का मौसम अपडेट - Nai Dunia",https://news.google.com/rss/articles/CBMi2wFBVV95cUxPck9qbjRsUGxpV2hIVE45TDF4N0JuaUFEVnNTb1RKZWhYRTFKVWpZMzE2QVdoVDdCQTYwQUw3dG45NUJydy1VdFFiWXR6cG5BcEM4WGpiWFVKUlVGSXp6UFJ3V0NHT2NrTUUwbGVxY04zT0drTnhmRlF5TGpvUmk5clRzWGl1OGNLTDlIemp3UHBCaDBlWHFKOU8yQk1YN0djdl8yWXVQZFlhRmJXYWRwVkF6RVFtdkVJNXhpaWUzbzJqTGxHVjVpRjFUM0NLZ0NyMTZVR1NnNmZzZ2M?oc=5,2025-09-14 06:24:33,Nai Dunia,"<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxPck9qbjRsUGxpV2hIVE45TDF4N0JuaUFEVnNTb1RKZWhYRTFKVWpZMzE2QVdoVDdCQTYwQUw3dG45NUJydy1VdFFiWXR6cG5BcEM4WGpiWFVKUlVGSXp6UFJ3V0NHT2NrTUUwbGVxY04zT0drTnhmRlF5TGpvUmk5clRzWGl1OGNLTDlIemp3UHBCaDBlWHFKOU8yQk1YN0djdl8yWXVQZFlhRmJXYWRwVkF6RVFtdkVJNXhpaWUzbzJqTGxHVjVpRjFUM0NLZ0NyMTZVR1NnNmZzZ2M?oc=5"" target=""_blank"">Weather Update: दिल्ली-NCR में आज बारिश के आसार, यूपी-बिहार में बाढ़ का खतरा बरकरार; जानें देशभर का मौसम अपडेट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Nai Dunia</font>",Monsoon,hi
"Weather Update: देशभर में थमा मॉनसून, दिल्ली में बढ... - Bharat Express",https://news.google.com/rss/articles/CBMitwFBVV95cUxQc2lubEFYcWlaZ3liZUw0OF9NUXpCbTZBUGZzTHpWZnJqbUVGV2ZMSE1nYmJVZEdKSnMwZjBod1YzM3N3dGhoLXB5S2N1LUhISy1WVG5WNER6U1hsRkhhSkU5U0U1cmdyVXUzUkdXSjVkZmtOTEdUMDk1VmRSYWdqM3prVGpJWnEyVUxjYU1sVml1X2p4X2lRVXlLSzQ0NVRDVzRKMDBrUzhBNXhhbkh4UEdtcnlmUnfSAbwBQVVfeXFMTWJHMzdUam0wV1g0RXZVTnB1S2p1WTVWLWJMZjVjNVpBcmNQU3ItdlUxMzNibmRrWWQyR2hMRERSWmUtbzgzQktTMzhkVTNhQ1A2N1JDVHI4UHZWUVVWRldWYTZXYm5lOTZ1N0E2VlNoU2xBbDFySDVvam14Z3NWNTM4WkFGcGdQRG9wT1pDYk53RUc3T1dHMWRWY2tyb2kwYlRHNDhGUkRoZlo4RTd1aXg4QmJjVHNqb2JGeV8?oc=5,2025-09-14 09:17:00,Bharat Express,"<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxQc2lubEFYcWlaZ3liZUw0OF9NUXpCbTZBUGZzTHpWZnJqbUVGV2ZMSE1nYmJVZEdKSnMwZjBod1YzM3N3dGhoLXB5S2N1LUhISy1WVG5WNER6U1hsRkhhSkU5U0U1cmdyVXUzUkdXSjVkZmtOTEdUMDk1VmRSYWdqM3prVGpJWnEyVUxjYU1sVml1X2p4X2lRVXlLSzQ0NVRDVzRKMDBrUzhBNXhhbkh4UEdtcnlmUnfSAbwBQVVfeXFMTWJHMzdUam0wV1g0RXZVTnB1S2p1WTVWLWJMZjVjNVpBcmNQU3ItdlUxMzNibmRrWWQyR2hMRERSWmUtbzgzQktTMzhkVTNhQ1A2N1JDVHI4UHZWUVVWRldWYTZXYm5lOTZ1N0E2VlNoU2xBbDFySDVvam14Z3NWNTM4WkFGcGdQRG9wT1pDYk53RUc3T1dHMWRWY2tyb2kwYlRHNDhGUkRoZlo4RTd1aXg4QmJjVHNqb2JGeV8?oc=5"" target=""_blank"">Weather Update: देशभर में थमा मॉनसून, दिल्ली में बढ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bharat Express</font>",Monsoon,hi
"Bihar Weather Update: IMD Issues Heavy Rain Alert For Araria, Kishanganj, Other Districts; Check Forecast For Patna - thedailyjagran.com",https://news.google.com/rss/articles/CBMi7gFBVV95cUxNN3pIUmVpdl92dFg4Y24xSGhFblBtTGRoQ2tuTlhwZGJOaGZHVms0X1BDdDZiN2o0ZUlpcU94NFQtSEFTbTFCeXJqcFFkWlp5VTlIU09WdlJCRWFscVpWSzRlYXpsMEV4emZrajJ1ZnRLNUJKckFLMDlRTlRFWWpNdjNYVVZQTENxVjRISkJKZTZjRkgyOHhVVHJ0bWZ3ZHpPVlZVRVdCbUhncV9LcG9RdHlSWEFkT2w4cTN6dnhWSWlXdDR4dm5iQ2tXcldBcEpvU3l3bDYtNThOUkEtbXU0QjNyRTRhZ1FKUFA2SmhR?oc=5,2025-09-14 09:21:00,thedailyjagran.com,"<a href=""https://news.google.com/rss/articles/CBMi7gFBVV95cUxNN3pIUmVpdl92dFg4Y24xSGhFblBtTGRoQ2tuTlhwZGJOaGZHVms0X1BDdDZiN2o0ZUlpcU94NFQtSEFTbTFCeXJqcFFkWlp5VTlIU09WdlJCRWFscVpWSzRlYXpsMEV4emZrajJ1ZnRLNUJKckFLMDlRTlRFWWpNdjNYVVZQTENxVjRISkJKZTZjRkgyOHhVVHJ0bWZ3ZHpPVlZVRVdCbUhncV9LcG9RdHlSWEFkT2w4cTN6dnhWSWlXdDR4dm5iQ2tXcldBcEpvU3l3bDYtNThOUkEtbXU0QjNyRTRhZ1FKUFA2SmhR?oc=5"" target=""_blank"">Bihar Weather Update: IMD Issues Heavy Rain Alert For Araria, Kishanganj, Other Districts; Check Forecast For Patna</a>&nbsp;&nbsp;<font color=""#6f6f6f"">thedailyjagran.com</font>",Monsoon,en
